Model Name,Model Year,Mile/Galon,Exterior Color,Interior Color,Drivetrain,Fuel Type,Transmission,Engine Type,Price
Y Performance,2022,34943,Gray,Black,All-wheel Drive,1-Speed Automatic,Electric,7SAYGDEF3NF388369,44985
3 Performance,2022,11820,–,–,All-wheel Drive,Automatic,Electric,5YJ3E1EC3NF259792,45995
S P85D,2015,107578,White,Black,All-wheel Drive,Automatic,Dual AC Electric Motors,5YJSA1H28FFP73200,22995
3 Performance,2020,24170,Gray,White/Black,All-wheel Drive,Automatic,Electric Motor,5YJ3E1EC5LF719225,39869
X Performance,2019,19630,Pearl White Multi,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJXCAE42KF162398,68515
X Long Range Dual Motor All-Wheel Drive,2021,25603,Pearl White Multi-Coat,Black,All-wheel Drive,Automatic,Electric Motor,5YJXCDE29MF308783,68888
S Long Range Dual Motor All-Wheel Drive,2021,8287,–,–,All-wheel Drive,Automatic,Electric Motor,5YJSA1E56MF440232,66966
S Plaid Tri Motor All-Wheel Drive,2021,25997,–,–,All-wheel Drive,Automatic,Electric ZEV 1020hp,5YJSA1E61MF431057,77777
S Long Range Dual Motor All-Wheel Drive,2021,28150,–,–,All-wheel Drive,Automatic,Electric Motor,5YJSA1E24MF424875,61961
X Plaid Tri Motor All-Wheel Drive,2022,3874,–,–,All-wheel Drive,Automatic,Electric ZEV,7SAXCBE68NF332715,91991
X 100D,2018,51154,Pearl White Multi-Coat,Black,All-wheel Drive,Automatic,Electric ZEV,5YJXCDE23JF089833,48888
3 Long Range,2022,1919,Pearl White Multi-Coat,Black,All-wheel Drive,Automatic,Dual Electric Motor,5YJ3E1EB0NF323908,41941
3 Performance,2020,13712,–,–,All-wheel Drive,Automatic,Dual Electric Motor,5YJ3E1EC2LF784498,39939
X 75D,2018,36209,Pearl White Multi-Coat,Cream,All-wheel Drive,Automatic,Electric ZEV,5YJXCDE23JF113502,47777
3 Long Range,2020,34473,–,–,All-wheel Drive,Automatic,Dual Electric Motor,5YJ3E1EB3LF600550,33933
Y Long Range Dual Motor All-Wheel Drive,2023,5327,–,–,All-wheel Drive,Automatic,Dual Electric Motor,7SAYGDEE1PA059029,49949
